Name,Sub-services,Life event link
Apply for a school place - step 02: Apply,"A. Register for an Education Portal account (Online) > Log into portal > Apply for a school place (online portal) > Receive application acknowledgement (email) > Wait > Check progress/status of application (online portal)

B. (after deadline/church school) Fill in form (paper) > Send application (email/post) > Receive acknowledgement of application (post/email) > Wait > Check progress/status of application (email)","Starting/attending school, Moving somewhere"
(NT) Apply for a school place - step 07: Appeal decision > submit appeal,"A. Fill in appeal form (online) > Receive copy of appeal (email) > Send evidence (post if not part of online form) > Wait > Receive invitation for appeal hearing > Receive hearing pack (post)

B. Fill in appeal form (paper) > Send evidence (post)  Wait > Receive invitation for appeal hearing > Receive hearing pack (post)","Starting/attending school, Moving somewhere"
(NT) Apply for a mid-year school place,Fill in application form (online form) > Wait (15 days)  > Get offer (email/post),Moving somewhere
(NT) Apply for school transport for an under 16,"A. Fill in application form (online) > Email acknowledgement > Wait > decision offered (up to 10 days) > Email acknowledgment

B. Fill in an application for faith school transport (paper) > Wait > decision offered (up to 10 days) > Email acknowledgement",Starting/attending school
(NT) Apply for SEND home to school transport,Check eligibility (online) > Fill in form (paper) > Submit (email/post) > Wait for decision if eligible > Get decision (post/email),"Starting/attending school, Being/becoming disabled"
Apply for travel training (person with SEND),Fill in form (online) > Get response about 10 days later? (?),Being/becoming disabled
(NT) Apply for a free school meal,Check/read eligibility  > Fill in form (online) > Receive acknowledgement of application > Receive outcome (10 days - post),Starting/attending school
(NT)Apply for school clothing grants (exceptional grants),Request an application form (email) > Get form (email) > Fill in form (emailed) > Receive outcome (post),Starting/attending school
Apply for free early years and childcare for 2 year olds,Register to portal account (online portal) > Login > Apply (online) ,Having children
Tell council that a child is missing from education (not going to school regularly),"A. Fill in form (online) > submit

B. Call 

C. Email",Starting/attending school
Register in a non-accredited adult learning course,"A. Register for non-accredited course (in person at a centre) > Pay (credit, direct debit, cash) > Receive acknowledgement/materials (email)

B. Call the contact centre > Register non-accredited course > Pay (phone) > Receive acknowledgement/materials (email)

C. Register for an account (online) > Login > Select non-accredited course > Register > Pay (online) > Receive acknowledgement/materials (email)

",Accessing further education
(NT) Apply for further education financial support,Fill in form (paper) > Submit application (post) > Get result (?),Accessing further education
(NT) Apply for childcare support fund ,Fill in form (paper) > Submit application (post) > Get result?,"Accessing further education, Having children"
Sign a petition,Select petition > Fill in details > Sign it,
Make a request for information,"A. Fill in form (online) 
B. Email",
Adult Social Care - check if I might need to pay for care,"A. Download PDF > Fill it in
B. Fill in form (online) ","Retiring, Being/becoming disabled"
(NT) Adult Social Care - self-refer to Sensory Services,"A. For visual impairment > Signposting from other services (eg, hospital) > service provider to call to confirm

B. For hearing impairment/deafblind > Self-referral online > Risk assessment phone call > Face-to-face assessment 

C. For hearing impairment/deafblind > Call to self-refer > Risk assessment phone call > Face-to-face assessment 
","Retiring, Being/becoming disabled"
(NT) Carer - refer a young carer,"A. Fill in form (online) > Get an assessment for referred (?)
B. Email > ?",Be/becoming a carer
(NT) Carers - register to Short Breaks,Fill in form (online) > Wait for email confirmation (later) > Get passport ID,Be/becoming a carer
 Carers - give feedback about short breaks service,Fill in form (online),Be/becoming a carer
(NT) Carers - become a foster carer,"A. Call
B. Fill in form (online)",Be/becoming a carer
Tell the council you are interested in adopting,"A. Call
B. Email
C. Fill in form (online)",Having children
Report a fraud,Fill in form (online),
Give feedback,Fill in form (online),Daily life
