Name,Sub-services,Life event link
(NT) Apply for a mid-year school place,Fill in application form (online form) > Wait (15 days)  > Get offer (email/post),Moving somewhere
(NT) Apply for school transport for an under 16,"A. Fill in application form (online) > Email acknowledgement > Wait > Decision offered (up to 10 days) > Email acknowledgment

B. Fill in an application for faith school transport (paper) > Wait > Decision offered (up to 10 days) > Email acknowledgement",Starting/attending school
(NT) Apply for school transport for an over 16,A. Fill in form (online/paper) > Submit (email/post) > Wait for decision if eligible > Get decision (post/email) > If eligible then receive a request for payment/invoice (email/post) > Pay (phone - credit/debit),Starting/attending school
(NT) Apply for SEND home to school transport,Check eligibility (online) > Fill in form (paper) > Submit (email/post) > Wait for decision if eligible > Get decision (post/email),"Starting/attending school, Being/becoming disabled"
Apply for travel training (person with SEND),Fill in form (online) > Get response about 10 days later? (?),Being/becoming disabled
(NT) Apply for free school meals,Check/read eligibility  > Fill in form (online) > Receive acknowledgement of application > Receive outcome (10 days - post),Starting/attending school
(NT)Apply for school clothing grants (exceptional grants),Request an application form (email) > Get form (email) > Fill in form (emailed) > Receive outome (post),Starting/attending school
Apply for free early years and childcare for 2 year olds,Register to portal account (online portal) > Login > Apply (online) ,Having children
Become a school governor,Apply to become a school governor (email),Starting/attending school
(NT) Apply for ACL financial support,Fill in form (paper) > Submit application (post) > Get result (?),Accessing further education
(NT) Apply for childcare support fund (ACL),Fill in form (paper) > Submit application (post) > Get result?,"Accessing further education, Having children"
(NT) Apply for learner support,Contact (email/phone) > Get assessment of needs (in person) > Get results ...>?,
(NT) Adult Social Care - apply for care and support,Call ASC > Get an assessment > Get a plan > Get a financial assessment > Have a personal budget defined,"Retiring, Being/becoming disabled"
(NT) Adult Social Care - apply to get support to buy aids and adaptations (under £1000),Call ASC > Get a care needs assessment > Get a plan > Council will buy and cover the expense,"Retiring, Being/becoming disabled"
(NT) Adult Social Care - apply to get support to buy aids and adaptations (over £1000),Call ASC > Get an assessment > Get a plan > Get a financial assessment > Have a personal budget defined > Buy ,"Retiring, Being/becoming disabled"
(NT) Adult Social Care  - self-refer to care support services,"A. For visual impairment > Signposting from other services (eg, hospital) > Support service to call to confirm

B. For hearing impairment/deafblind > Self-referral online > Risk assessment phone call > Face-to-face assessment 

C. For hearing impairment/deafblind > Call to self-refer > Risk assessment phone call > Face-to-face assessment 
","Retiring, Being/becoming disabled"
Adult Social Care - register a sensory impairment,"A. Call
B. Fill in form (online)","Retiring, Being/becoming disabled"
(NT) Carers  - get an assessment,"A. Call > Have an assessment completed (face to face)
B. Call > Have an assessment completed (phone)",Be/becoming a carer
(NT) Carers - register to Short Breaks,Fill in form (online) > Wait for email confirmation (later) > Get passport ID,Be/becoming a carer
(NT) Carers  - become a foster carer,"A. Call
B. Fill in form (online)",Be/becoming a carer
Tell council you are interested in adopting,"A. Call
B. Email
C. Fill in form (online)",Having children
